key,county,city
2105,Marin,Mill Valley
2106,Marin,Novato
2107,Marin,Ross
2108,Marin,San Anselmo
2109,Marin,San Rafael
2110,Marin,Sausalito
2111,San Mateo,Belmont
2200,Mariposa,Catheys Valley
2300,Mendocino,Ukiah
2301,Mendocino,Fort Bragg
2302,Mendocino,Point Arena
2303,Mendocino,Ukiah
2304,Mendocino,Willits
2400,Merced,Snelling
2401,Merced,Atwater
2402,Merced,Dos Palos
2403,Merced,Gustine
2404,Merced,Livingston
2405,Merced,Los Banos
2406,Merced,Merced
2500,Modoc,McArthur
2501,Modoc,Alturas
2600,Mono,Bishop
2601,Mono,Mammoth Lakes
2700,Monterey,Carmel-by-the-Sea
2701,Monterey,Carmel-by-the-Sea
2702,Monterey,Monterey
2703,Monterey,Gonzales
2704,Monterey,Greenfield
2705,Monterey,King City
2706,Monterey,Salinas
2707,Monterey,Pacific Grove
2708,Monterey,Salinas
2709,Monterey,Seaside
2710,Monterey,Seaside
2711,Monterey,Soledad
2712,Monterey,Marina
2800,Napa,St Helena
2801,Napa,Calistoga
2802,Napa,Napa
2803,Napa,St Helena
2804,Napa,Yountville
2805,Napa,American Canyon
2900,Nevada,Grass Valley
2901,Nevada,Grass Valley
2902,Nevada,Nevada City
2908,Nevada,Truckee
3000,Orange,Ladera Ranch
3001,Orange,Anaheim
3002,Orange,Brea
3003,Orange,Buena Park
3004,Orange,Costa Mesa
3005,Orange,Cypress
3006,Orange,Buena Park
3007,Orange,Huntington Beach
3008,Orange,Fullerton
3009,Orange,San Clemente
3010,Orange,Huntington Beach
3011,Orange,Laguna Beach
3012,Orange,La Habra
3013,Orange,Los Alamitos
3014,San Diego,Camp Pendleton Marine Corps Base
3015,Orange,Santa Ana
3016,Orange,Placentia
3017,Orange,San Clemente
3018,Orange,San Juan Capistrano
3019,Orange,Santa Ana
3020,Orange,Seal Beach
3021,Orange,Anaheim
3022,Orange,Tustin
3023,Orange,Villa Park
3024,Orange,Westminster
3025,Orange,Yorba Linda
3026,Orange,Irvine
3028,Orange,Laguna Niguel
3029,San Diego,Camp Pendleton Marine Corps Base
3040,Orange,Laguna Hills
3045,Orange,Laguna Hills
3048,Orange,Rancho Santa Margarita
3049,Orange,Aliso Viejo
3050,Orange,Laguna Hills
3051,Orange,Laguna Hills
3100,Sacramento,Sloughhouse
3101,Placer,Auburn
3102,Placer,Colfax
3103,Placer,Lincoln
3104,Placer,Rocklin
3105,Placer,Roseville
3106,Placer,Newcastle
3200,Plumas,Blairsden-Graeagle
3201,Sierra,Sierraville
3300,Riverside,Perris
3301,Riverside,Banning
3302,Riverside,Beaumont
3303,Riverside,Blythe
3305,Riverside,
3306,Riverside,North Palm Springs
3307,San Diego,Fallbrook
3308,Riverside,
3309,Riverside,Desert Hot Springs
3310,Riverside,Norco
3311,Riverside,North Palm Springs
3312,Riverside,Perris
3313,Riverside,Riverside
3314,Riverside,San Jacinto
3315,Riverside,Corona
3316,Riverside,Palm Desert
3317,Riverside,Rancho Mirage
3318,Riverside,Indio
3325,Riverside,Cathedral City
3335,Riverside,Temecula
3336,Riverside,Calimesa
3337,Riverside,Menifee
3341,Riverside,Menifee
3342,Riverside,Murrieta
3343,Riverside,Wildomar
3344,Riverside,Corona
3345,Riverside,Mira Loma
3392,Riverside,La Quinta
3394,Riverside,Moreno Valley
3400,Sacramento,Sacramento
3401,Sacramento,Folsom
3402,Sacramento,Galt
3403,Sacramento,Isleton
3404,Sacramento,Wilton
3450,Sacramento,Elk Grove
3490,Sacramento,Rancho Cordova
3496,Placer,Roseville
3500,San Benito,San Juan Bautista
3501,San Benito,Hollister
3502,San Benito,Hollister
3600,San Bernardino,Earp
3601,San Bernardino,Barstow
3602,San Bernardino,Chino
3603,San Bernardino,Colton
3604,San Bernardino,Fontana
3605,San Bernardino,Montclair
3606,San Bernardino,Needles
3607,San Bernardino,Ontario
3608,San Bernardino,Redlands
3609,San Bernardino,Bloomington
3610,San Bernardino,San Bernardino
3611,San Bernardino,Upland
3612,San Bernardino,Lake Arrowhead
3613,San Bernardino,Adelanto
3615,San Bernardino,San Bernardino
