id,name
1,Schoolbus on Public Roadway (CHP Beat or CHP Adm Beat 901)
2,State University (Also SFIA)
3,Schoolbus Not on Public Roadway (CHP Adm Beat 903) 
4,"Offroad (Unimproved) (CHP Adm Beat 906, 907)"
5,Vista Point or Rest Area (CHP Adm Beat 903) or Scales or Inspection Facility (CHP Com Beat 860-898)
6,Other Public Access (Improved) (CHP Adm Beat 903)
0,Not Above
