id,name
1,Interstate
2,US Highway
3,State Route
4,County Road Line
5,County Road Area
A,Safety Services Program Beats
S,Administrative Beats (900’s)
0,Not CHP
6,US Highway
7,State Route
8,County Road Line
9,County Road Area
