normalized_road,standard_road
"BANCROFT AV","BANCROFT WAY"
"BANCROFT ST","BANCROFT WAY"
"BANCROFT STEPS WY","BANCROFT STEPS"
"BANCROFT WAY","BANCROFT WAY"
"BANCROFT WY","BANCROFT WAY"
"BANDROFT WY","BANCROFT WAY"
"BARROW LN","BARROW LN"
"BARROWS LN","BARROW LN"
"BARROWS ST","BARROW LN"
"BATAAN AV","BATAAN AVE"
"BATAAN ST","BATAAN AVE"
"BATEMAN ST","BATEMAN ST"
BAY,"BAY ST"
"BAY ST","BAY ST"
"BAY STREET","BAY ST"
"BAY TREE LN","BAY TREE LN"
"BAY VIEW","BAY VIEW PL"
"BAY VIEW PL","BAY VIEW PL"
"BAYVIEW PL","BAY VIEW PL"
BELROSE,"BELROSE AVE"
"BELROSE AV","BELROSE AVE"
"BELROSE AVE","BELROSE AVE"
BELVEDERE,"BELVEDERE AVE"
"BELVEDERE ST","BELVEDERE AVE"
BENVENUE,"BENVENUE AVE"
"BENVENUE AV","BENVENUE AVE"
"BENVENUE ST","BENVENUE AVE"
BERKELEY,"BERKELEY SQ"
"BERKELEY SQ","BERKELEY SQ"
"BERKELEY WY","BERKELEY WAY"
BERRYMAN,"BERRYMAN ST"
"BERRYMAN PATH","BERRYMAN PATH"
"BERRYMAN ST","BERRYMAN ST"
"BERYMAN ST","BERRYMAN ST"
BEVERLY,"BEVERLY PL"
"BEVERLY PL","BEVERLY PL"
BLAKE,"BLAKE ST"
"BLAKE ST","BLAKE ST"
"BOISE ST","BOISE ST"
BOLIVAR,"BOLIVAR DR"
"BOLIVAR DR","BOLIVAR DR"
"BOLIVAR ST","BOLIVAR DR"
BONAR,"BONAR ST"
"BONAR ST","BONAR ST"
BONITA,"BONITA AVE"
"BONITA AV","BONITA AVE"
"BONITA ST","BONITA ST"
"BONITA WY","BONITA AVE"
"BONNIE LN","BONNIE LN"
BORE,BORE
BOWDICH,"BOWDITCH ST"
BOWDITCH,"BOWDITCH ST"
"BOWDITCH AV","BOWDITCH ST"
"BOWDITCH ST","BOWDITCH ST"
"BOWDITCH WY","BOWDITCH ST"
BOYNTON,"BOYNTON AVE"
"BOYNTON AV","BOYNTON AVE"
"BOYNTON WALK","BOYNTON WALK"
BREAKWATER,"BREAKWATER DR"
"BREAKWATER DR","BREAKWATER DR"
"BRET HARTE","BRET HARTE RD"
"BRET HARTE RD","BRET HARTE RD"
BRIDGE,"BRIDGE RD"
"BRIDGE RD","BRIDGE RD"
"BRIGHTON AV","BRIGHTON AVE"
"BROADWAY TER","BROADWAY TER"
"BROOKSIDE AV","BROOKSIDE AVE"
BROWNING,"BROWNING ST"
"BROWNING CT","BROWNING ST"
"BROWNING ST","BROWNING ST"
BUCHANAN,"BUCHANAN ST"
"BUCHANAN ST","BUCHANAN ST"
"BUCHANAN ST U","BUCHANAN ST"
"BUCHANAN STREET","BUCHANAN ST"
"BUCHANNAN RD","BUCHANAN ST"
"BUCHANNAN STREET","BUCHANAN ST"
"BUENA AV","BUENA AVE"
"BUENA VISTA","BUENA VISTA WAY"
"BUENA VISTA AV","BUENA VISTA WAY"
"BUENA VISTA ST","BUENA VISTA WAY"
"BUENA VISTA WY","BUENA VISTA WAY"
BURNETT,"BURNETT ST"
"BURNETT AV","BURNETT ST"
"BURNETT ST","BURNETT ST"
BURNETTE,"BURNETT ST"
"BURTON ST","BURTON DR"
BYRON,"BYRON ST"
"BYRON AV","BYRON ST"
"BYRON ST","BYRON ST"
"BYRON WY","BYRON ST"
"CADAR ROSE PK","CADAR ROSE PK"
"CALDECOTT TNL","CALDECOTT TNL"
CALIFORNIA,"CALIFORNIA ST"
"CALIFORNIA AV","CALIFORNIA ST"
"CALIFORNIA CT","CALIFORNIA ST"
"CALIFORNIA ST","CALIFORNIA ST"
CALIFRONIA,"CALIFORNIA ST"
CALREMONT,"CLAREMONT AVE"
CALUSA,"COLUSA AVE"
CAMELIA,"CAMELIA ST"
"CAMELIA DR","CAMELIA ST"
"CAMELIA ST","CAMELIA ST"
"CAMILLA ST","CAMILLA ST"
CAMPUS,"CAMPUS DR"
"CAMPUS DR","CAMPUS DR"
"CANTER ST","CANTER ST"
CANYON,"CANYON RD"
"CANYON RD","CANYON RD"
CAPISTRANO,"CAPISTRANO AVE"
"CAPISTRANO AV","CAPISTRANO AVE"
"CAPISTRANO WY","CAPISTRANO AVE"
CARELTON,"CARLETON ST"
"CARELTON ST","CARLETON ST"
CARLETON,"CARLETON ST"
"CARLETON ST","CARLETON ST"
CARLOTTA,"CARLOTTA AVE"
"CARLOTTA AV","CARLOTTA AVE"
"CARLSON BL","CARLSON BLVD"
"CARLTON ST","CARLETON ST"
CARRISON,"CARRISON ST"
"CARRISON ST","CARRISON ST"
CATALINA,"CATALINA AVE"
"CATALINA AV","CATALINA AVE"
"CATALINA ST","CATALINA AVE"
"CATHERINE DR","CATHERINE DR"
CEDAR,"CEDAR ST"
"CEDAR AV","CEDAR ST"
"CEDAR CT","CEDAR ST"
"CEDAR ST","CEDAR ST"
"CEDAR ST E","CEDAR ST"
"CEDAR STREET","CEDAR ST"
"CEDARWOOD LN","CEDARWOOD LN"
"CENTENIAL RD","CENTENNIAL DR"
CENTENNIAL,"CENTENNIAL DR"
"CENTENNIAL AVENUE","CENTENNIAL DR"
"CENTENNIAL DR","CENTENNIAL DR"
CENTER,"CENTER ST"
"CENTER AV","CENTER ST"
"CENTER ST","CENTER ST"
"CENTRAL AV","CENTRAL AVE"
"CENTRAL AVE","CENTRAL AVE"
"CENTRAL AVENUE","CENTRAL AVE"
"CENTRAL PKWY","CENTRAL AVE"
"CHANNIN ST","CHANNING WAY"
CHANNING,"CHANNING WAY"
"CHANNING AV","CHANNING WAY"
"CHANNING ST","CHANNING WAY"
"CHANNING WAY","CHANNING WAY"
"CHANNING WAY E","CHANNING WAY"
"CHANNING WY","CHANNING WAY"
CHAUCER,"CHAUCER ST"
"CHAUCER ST","CHAUCER ST"
"CHERRY ST","CHERRY ST"
CHESTNUT,"CHESTNUT ST"
"CHESTNUT ST","CHESTNUT ST"
CHILTON,"CHILTON WAY"
"CHILTON ALY","CHILTON WAY"
"CHILTON WY","CHILTON WAY"
"CHRISTIE AV","CHRISTIE AVE"
CLAREMONT,"CLAREMONT AVE"
"CLAREMONT AV","CLAREMONT AVE"
"CLAREMONT BL","CLAREMONT BLVD"
"CLAREMONT CRES","CLAREMONT CRESCENT"
"CLAREMONT PARK CT","CLAREMONT PARK CT"
"CLAREMONT PATH","CLAREMONT PATH"
"CLEVELAND AV","CLEVELAND AVE"
"CLEVELAND AVE","CLEVELAND AVE"
"CLEVELAND AVENUE","CLEVELAND AVE"
COLBY,"COLBY ST"
"COLBY CT","COLBY ST"
"COLBY ST","COLBY ST"
COLLEEN,"COLLEGE AVE"
COLLEGE,"COLLEGE AVE"
"COLLEGE AV","COLLEGE AVE"
"COLLEGE ST","COLLEGE AVE"
COLORADO,"COLORADO AVE"
"COLORADO AV","COLORADO AVE"
COLUMBIA,"COLUMBIA CIR"
"COLUMBIA CIR","COLUMBIA CIR"
COLUSA,"COLUSA AVE"
"COLUSA AV","COLUSA AVE"
"COLUSA ST","COLUSA AVE"
"CONTRA COSTA AV","CONTRA COSTA AVE"
"COOLBIRTH PATH","INA COOLBIRTH PATH"
CORNELL,"CORNELL AVE"
"CORNELL AV","CORNELL AVE"
"CORNELL ST","CORNELL AVE"
COWPER,"COWPER ST"
"COWPER ST","COWPER ST"
CRAGMONT,"CRAGMONT AVE"
"CRAGMONT AV","CRAGMONT AVE"
"CRAGMONT ST","CRAGMONT AVE"
CRAGMOUNT,"CRAGMONT AVE"
CRESTON,"CRESTON RD"
"CRESTON RD","CRESTON RD"
CROSSWAYS,"THE CROSSWAYS"
CRYSTAL,"CRYSTAL WAY"
"CRYSTAL WY","CRYSTAL WAY"
CURTIS,"CURTIS ST"
"CURTIS AV","CURTIS ST"
"CURTIS ST","CURTIS ST"
"CUTTING BL","CUTTING BLVD"
"CYPRESS ST","CYPRESS ST"
"D AND E DOCK RD","D AND E DOCK RD"
DANA,"DANA ST"
"DANA ST","DANA ST"
"DARTMOUTH ST","DARTMOUTH ST"
"DAVIS STREET","DAVIS ST"
DEAKIN,"DEAKIN ST"
"DEAKIN ST","DEAKIN ST"
"DEL MAR AV","DEL MAR AVE"
"DEL MAR AVE","DEL MAR AVE"
"DEL NORTE","DEL NORTE ST"
"DEL NORTE AV","DEL NORTE ST"
"DEL NORTE CT","DEL NORTE CT"
"DEL NORTE ST","DEL NORTE ST"
DELAWARE,"DELAWARE ST"
"DELAWARE AV","DELAWARE ST"
"DELAWARE AV E","DELAWARE ST"
"DELAWARE ST","DELAWARE ST"
"DELAWARE STREET","DELAWARE ST"
"DELEWARE ST","DELAWARE ST"
"DELWARE ST","DELAWARE ST"
DERBY,"DERBY ST"
"DERBY SQ","DERBY ST"
"DERBY ST","DERBY ST"
"DERBY TER","DERBY ST"
DOHR,"DOHR ST"
"DOHR ST","DOHR ST"
DOMINGO,"DOMINGO AVE"
"DOMINGO AV","DOMINGO AVE"
"DOMINGO ST","DOMINGO AVE"
"DOUBLE TREE ENT","DOUBLE TREE ENT"
DOVER,"DOVER ST"
"DOVER ST","DOVER ST"
DOWLING,"DOWLING PL"
"DOWLING AV","DOWLING PL"
"DOWLING PL","DOWLING PL"
"DOWLING ST","DOWLING PL"
"DUARTE AV","DURANT AVE"
"DURAN AVE","DURANT AVE"
"DURAN WY","DURANT AVE"
DURANT,"DURANT AVE"
"DURANT AV","DURANT AVE"
"DURANT ST","DURANT AVE"
"DURRANT AV","DURANT AVE"
DWIGHT,"DWIGHT WAY"
"DWIGHT CRECENT","DWIGHT CRESCENT"
"DWIGHT CRES","DWIGHT CRESCENT"
