case_id,primary_rd,secondary_rd
6137562,"MARIN AVE","FRESNO ST"
6137566,"SHATTUCK AVE","PRINCE ST"
6137570,"ASHBY AVE","MABEL ST"
6137574,"CEDAR ST","CALIFORNIA ST"
6137578,"THE ALAMEDA","MONTEREY AVE"
6137590,"GILMAN ST","SAN PABLO AVE"
6140278,"HENRY ST","HEARST AVE"
6140282,"SAN PABLO AVE","BANCROFT WAY"
6140294,"MARTIN LUTHER KING JR WAY","BERKELEY WAY"
6140314,"TELEGRAPH AVE","HOWE ST"
6141201,"SAN PABLO AVE","ADDISON ST"
6141217,"HARRISON ST","SAN PABLO AVE"
6141221,"HEARST AVE","GRANT ST"
6141229,"SAN PABLO AVE","UNIVERSITY AVE"
6141233,"PARKER ST","COLLEGE AVE"
6141237,"HOPKINS ST","PERALTA AVE"
6141263,"MILVIA ST","ALLSTON WAY"
6141271,"ELLSWORTH ST","PARKER ST"
6175544,"KITTREDGE ST","HAROLD WAY"
6177522,"GRIZZLY PEAK BLVD","AVENIDA DR"
6177523,"DANA ST","CHANNING WAY"
6177531,"ADDISON ST","SAN PABLO AVE"
6177532,"UNIVERSITY AVE","CALIFORNIA ST"
6177536,"DERBY ST","WARRING ST"
6177537,"MARTIN LUTHER KING JR WAY","UNIVERSITY AVE"
6177550,"SIXTH ST","HARRISON ST"
6198673,"SUTTER ST","EL DORADO AVE"
6198674,"WARD ST","DOHR ST"
6198677,"WILDCAT CANYON RD","SPRUCE ST"
6198678,"HEARST AVE","SAN PABLO AVE"
6198679,"WILDCAT CANYON RD","SPRUCE ST"
6198681,"SHATTUCK AVE","VINE ST"
6198684,"SHATTUCK PL","SHATTUCK AVE"
6198686,"OXFORD ST","CENTER ST"
6198687,"ALCATRAZ AVE","IDAHO ST"
6198689,"PARKER ST","ETNA ST"
6202737,"CHANNING WAY","ELLSWORTH ST"
6202741,"GILMAN ST","EASTSHORE HWY"
6202777,"CLAREMONT AVE","CLAREMONT BLVD"
6216290,"WOOLSEY ST","COLLEGE AVE"
6216302,"UNIVERSITY AVE","WALNUT ST"
6216306,"ADDISON ST","MILVIA ST"
6216502,"SHATTUCK AVE","LINCOLN ST"
6216506,"TELEGRAPH AVE","WEBSTER ST"
6216510,"ADDISON ST","EIGHTH ST"
6216514,"DERBY ST","TELEGRAPH AVE"
6216518,"SAN PABLO AVE","ALLSTON WAY"
6216522,"GILMAN ST","I-80"
6216530,"HEINZ AVE","SEVENTH ST"
6216534,"HARRISON ST","SIXTH ST"
6216537,"STUART ST","ADELINE ST"
6216542,"EUCLID AVE","HILGARD AVE"
6241693,"CENTER ST","MARTIN LUTHER KING JR WAY"
6251554,"DANA ST","CHANNING WAY"
6251922,"SONOMA AVE","JOSEPHINE ST"
6251930,"GILMAN ST","EIGHTH ST"
6251931,"SHATTUCK AVE","ADDISON ST"
6251935,"GILMAN ST","EASTSHORE HWY"
6251943,"SOLANO AVE","COLUSA AVE"
6251946,"MCGEE AVE","UNIVERSITY AVE"
6251947,"HEARST AVE","BONITA AVE"
6251950,"DEAKIN ST","PRINCE ST"
6251953,"HEARST AVE","LE ROY AVE"
6251954,"TELEGRAPH AVE","PARKER ST"
6251959,"VIRGINIA ST","VIRGINIA ST"
6251962,"SHATTUCK AVE","BLAKE ST"
6251965,"OXFORD ST","HEARST AVE"
6251966,"BAY ST","POTTER ST"
6251969,"ASHBY AVE","BENVENUE AVE"
6251970,"COLLEGE AVE","PARKER ST"
6251971,"CURTIS ST","UNIVERSITY AVE"
6251973,"BANCROFT WAY","COLLEGE AVE"
6251974,"ASHBY AVE","MABEL ST"
6251977,"CHANNING WAY","DANA ST"
6251979,"DWIGHT WAY","REGENT ST"
6251981,"WOOLSEY ST","TELEGRAPH AVE"
6251983,"ASHBY AVE","KING ST"
6251989,"SIXTH ST","ALLSTON WAY"
6251991,"OXFORD ST","ALLSTON WAY"
6251993,"TUNNEL RD","THE UPLANDS"
6251995,"COLLEGE AVE","ALCATRAZ AVE"
6254029,"LA LOMA AVE","HEARST AVE"
6254041,"BOWDITCH ST","HASTE ST"
6254051,"UNIVERSITY AVE","SEVENTH ST"
6254105,"MILVIA ST","CENTER ST"
6254153,"EUCLID AVE","EUCLID AVE"
6274614,"BANCROFT WAY","BOWDITCH ST"
6274618,"STUART ST","FULTON ST"
6275541,"MARTIN LUTHER KING JR WAY","ASHBY AVE"
6275553,"ROSE ST","SACRAMENTO ST"
6279721,"CHANNING WAY","COLLEGE AVE"
6279723,"SAN PABLO AVE","HEARST AVE"
6279724,"CALIFORNIA ST","ALLSTON WAY"
6279726,"ASHBY AVE","SACRAMENTO ST"
6279727,"OXFORD ST","FRANK SCHLESSINGER WAY"
6279729,"ALCATRAZ AVE","ADELINE ST"
6279730,"ADELINE ST","ADELINE ST"
6279731,"EUCLID AVE","CRYSTAL WAY"
6279738,"SAN PABLO AVE","FRANCISCO ST"
6279739,"CHANNING WAY","SHATTUCK AVE"
6279741,"SAN PABLO AVE","ASHBY AVE"
6279742,"DELAWARE ST","FRANKLIN ST"
6279743,"BANCROFT WAY","NINTH ST"
6279746,"STUART ST","FULTON ST"
6280705,"SACRAMENTO ST","BANCROFT WAY"
6290651,"SACRAMENTO ST","BANCROFT WAY"
6291872,"EUNICE ST","SPRUCE ST"
6292119,"UNIVERSITY AVE","MCGEE AVE"
6294560,"CALIFORNIA ST","ALLSTON WAY"
6294561,"SAN PABLO AVE","BANCROFT WAY"
6294562,"FULTON ST","CARLETON ST"
6294565,"SHATTUCK AVE","HASTE ST"
6294569,"MARTIN LUTHER KING JR WAY","OREGON ST"
6294570,"THE ALAMEDA","HOPKINS ST"
6294581,"CHANNING WAY","PIEDMONT AVE"
6294593,"UNIVERSITY AVE","SHATTUCK AVE"
6294613,"ASHBY AVE","SACRAMENTO ST"
6294617,"CALIFORNIA ST","ALLSTON WAY"
6294621,"ANTHONY ST","NINTH ST"
6294629,"SHATTUCK AVE","FRANCISCO ST"
6294633,"FULTON ST","BANCROFT WAY"
6298268,"ASHBY AVE","HILLEGASS AVE"
6298300,"SHATTUCK AVE","ALLSTON WAY"
6304403,"SAN PABLO AVE","HEARST AVE"
6304407,"CENTER ST","SHATTUCK AVE"
6304783,"UNIVERSITY AVE","MILVIA ST"
6305364,"TUNNEL RD","DOMINGO AVE"
6305372,"SHATTUCK AVE","ASHBY AVE"
6305380,"HILGARD AVE","EUCLID AVE"
6305384,"SIXTH ST","DWIGHT WAY"
6305392,"CEDAR ST","JUANITA WAY"
6305396,"BANCROFT WAY","FULTON ST"
6305419,"BANCROFT WAY","DANA ST"
6305423,"EUCLID AVE","LE CONTE AVE"
6305436,"BOWDITCH ST","HASTE ST"
6305440,"ROSE ST","WALNUT ST"
6305888,"CHANNING WAY","SHATTUCK AVE"
6305892,"ADELINE ST","ESSEX ST"
6305900,"SACRAMENTO ST","ALCATRAZ AVE"
6305916,"DANA ST","DWIGHT WAY"
6305925,"FAIRVIEW ST","ADELINE ST"
6305929,"UNIVERSITY AVE","GRANT ST"
6305941,"ACTON ST","UNIVERSITY AVE"
6305945,"HARRISON ST","FIFTH ST"
6305949,"HEARST AVE","SPRUCE ST"
6305957,"SHATTUCK AVE","SHATTUCK AVE"
6305961,"SAN PABLO AVE","PAGE ST"
6306576,"CLAREMONT AVE","ASHBY AVE"
6306584,"SAN PABLO AVE","SAN PABLO AVE"
6375043,"DWIGHT WAY","MILVIA ST"
6375044,"ROSE ST","SHATTUCK AVE"
6375047,"SAN LORENZO AVE","COLUSA AVE"
6375051,"SACRAMENTO ST","VIRGINIA ST"
6375055,"MARTIN LUTHER KING JR WAY","PRINCE ST"
6375056,"HEARST AVE","SIXTH ST"
6375059,"TELEGRAPH AVE","OREGON ST"
6375063,"PIEDMONT AVE","CHANNING WAY"
6375067,"MILVIA ST","WARD ST"
6375071,"UNIVERSITY AVE","SHATTUCK AVE"
6375072,"SACRAMENTO ST","ADDISON ST"
6375075,"66TH ST","ACTON ST"
6375079,"ASHBY AVE","HILLEGASS AVE"
6375080,"SIXTH ST","PAGE ST"
6375092,"MILVIA ST","HASTE ST"
6375111,"WOOLSEY ST","REGENT ST"
6375115,"NINTH ST","JONES ST"
6375119,"KING ST","PRINCE ST"
6384214,"TENTH ST","ALLSTON WAY"
6384234,"CARLETON ST","SACRAMENTO ST"
6396251,"MILVIA ST","BANCROFT WAY"
6396252,"SAN PABLO AVE","VIRGINIA ST"
6396255,"HASTE ST","SHATTUCK AVE"
6396256,"PARKER ST","MARTIN LUTHER KING JR WAY"
6396260,"SEVENTH ST","ANTHONY ST"
6396264,"SHATTUCK AVE","HASTE ST"
6396272,"RUSSELL ST","REGENT ST"
6396276,"CAPISTRANO AVE","COLUSA AVE"
6396280,"ASHBY AVE","DEAKIN ST"
6396288,"SACRAMENTO ST","OREGON ST"
6396296,"SAN PABLO AVE","ADDISON ST"
6396319,"MARIN CIR","LOS ANGELES AVE"
6396350,"MARTIN LUTHER KING JR WAY","DERBY ST"
6396354,"EMERSON ST","SHATTUCK AVE"
6396362,"MILVIA ST","VIRGINIA ST"
6396366,"SHATTUCK AVE","EUNICE ST"
6396370,"SPRUCE ST","HEARST AVE"
6396394,"SACRAMENTO ST","RUSSELL ST"
6396398,"ASHBY AVE","MARTIN LUTHER KING JR WAY"
6429526,"HENRY ST","ROSE ST"
6429527,"UNIVERSITY AVE","UNIVERSITY AVE"
6439088,"UNIVERSITY AVE","OXFORD ST"
6442280,"SHATTUCK AVE","CEDAR ST"
6448416,"CHANNING WAY","MILVIA ST"
6450161,"PERALTA AVE","GILMAN ST"
6450165,"CENTER ST","MILVIA ST"
6450174,"CALIFORNIA ST","ALLSTON WAY"
6450181,"GRIZZLY PEAK BLVD","SPRUCE ST"
6450185,"SHATTUCK AVE","DELAWARE ST"
6450186,"CRAGMONT AVE","EUCLID AVE"
6450190,"CALIFORNIA ST","HEARST AVE"
6450197,"MILVIA ST","MILVIA ST"
6450198,"PIEDMONT AVE","DURANT AVE"
6450202,"UNIVERSITY AVE","UNIVERSITY AVE"
6450209,"SEVENTH ST","HEINZ AVE"
6450210,"CHANNING WAY","FULTON ST"
6450214,"ALLSTON WAY","MILVIA ST"
6450217,"MARTIN LUTHER KING JR WAY","ALLSTON WAY"
6450230,"STUART ST","STUART ST"
6450238,"CEDAR ST","EDITH ST"
6458115,"MARTIN LUTHER KING JR WAY","DERBY ST"
6458131,"GILMAN ST","BUCHANAN ST"
6458139,"MILVIA ST","BANCROFT WAY"
6458143,"SPRUCE ST","SAN BENITO RD"
6458147,"ADELINE ST","ALCATRAZ AVE"
6458151,"GILMAN ST","I-80"
6458155,"OREGON ST","SHATTUCK AVE"
6458938,"HEARST AVE","MCGEE AVE"
6467591,"CLAREMONT AVE","PRINCE ST"
6468722,"GILMAN ST","TENTH ST"
6468747,"PIEDMONT AVE","BANCROFT WAY"
6468769,"NINTH ST","HEINZ AVE"
6487161,"UNIVERSITY AVE","ACTON ST"
6491203,"FRANCISCO ST","MARTIN LUTHER KING JR WAY"
6491762,"UNIVERSITY AVE","SAN PABLO AVE"
6491774,"STUART ST","MILVIA ST"
6491775,"MARTIN LUTHER KING JR WAY","ASHBY AVE"
6491779,"TELEGRAPH AVE","ASHBY AVE"
6491782,"SACRAMENTO ST","CHANNING WAY"
6491783,"HEARST AVE","SHATTUCK AVE"
6491791,"WILDCAT CANYON RD","PARK HILLS RD"
6491795,"SUTTER ST","EL DORADO AVE"
6491845,"SHATTUCK AVE","CENTER ST"
6491853,"HENRY ST","BERRYMAN ST"
6491857,"SPRUCE ST","HEARST AVE"
6491865,"CEDAR ST","SHATTUCK AVE"
6491894,"DEAKIN ST","WEBSTER ST"
6491898,"VIRGINIA ST","FIFTH ST"
6491901,"MILVIA ST","STUART ST"
6491906,"SAN PABLO AVE","CHAUCER ST"
6491910,"ASHBY AVE","MARTIN LUTHER KING JR WAY"
6491914,"UNIVERSITY AVE","MILVIA ST"
6508264,"ALLSTON WAY","MILVIA ST"
6508298,"SAN PABLO AVE","FRANCISCO ST"
6508310,"DWIGHT WAY","DANA ST"
6508318,"UNIVERSITY AVE","SACRAMENTO ST"
6523655,"HASTE ST","TELEGRAPH AVE"
6523675,"KING ST","FAIRVIEW ST"
6526417,"DWIGHT WAY","COLLEGE AVE"
6526421,"COLLEGE AVE","COLLEGE AVE"
6526425,"MARTIN LUTHER KING JR WAY","ADDISON ST"
6526429,"DWIGHT WAY","MILVIA ST"
6526433,"ASHBY AVE","SAN PABLO AVE"
6526437,"BANCROFT WAY","DANA ST"
6526441,"MCGEE AVE","ADDISON ST"
6526453,"CALIFORNIA ST","ASHBY AVE"
6526457,"MILVIA ST","DWIGHT WAY"
6527041,"NINTH ST","HEINZ AVE"
6527061,"ASHBY AVE","PINE AVE"
6530425,"BERRYMAN ST","MILVIA ST"
6535843,"SHATTUCK AVE","FRANCISCO ST"
6535848,"CHESTNUT ST","VIRGINIA ST"
6535851,"ASHBY AVE","KING ST"
6535855,"MARTIN LUTHER KING JR WAY","CHANNING WAY"
6535863,"MARTIN LUTHER KING JR WAY","CHANNING WAY"
6535879,"UNIVERSITY AVE","WALNUT ST"
6535891,"WILDCAT CANYON RD","PARK HILLS RD"
6535903,"CHANNING WAY","FULTON ST"
6535915,"GILMAN ST","EASTSHORE HWY"
6539137,"COLLEGE AVE","STUART ST"
6539158,"VINE ST","MARTIN LUTHER KING JR WAY"
6539174,"PIEDMONT AVE","CHANNING WAY"
6539178,"ADDISON ST","BOLIVAR DR"
6539182,"ADELINE ST","ASHBY AVE"
6539186,"NINTH ST","CEDAR ST"
6541962,"HEARST AVE","EUCLID AVE"
6541964,"DWIGHT WAY","HILLEGASS AVE"
6541967,"DEL NORTE ST","MARIN CIR"
6541968,"SACRAMENTO ST","BANCROFT WAY"
6541970,"HEARST AVE","ARCH ST"
6541972,"SHATTUCK AVE","KITTREDGE ST"
6541974,"CENTER ST","MARTIN LUTHER KING JR WAY"
6541978,"BENVENUE AVE","PARKER ST"
6541980,"ADELINE ST","ASHBY AVE"
6541982,"TELEGRAPH AVE","ASHBY AVE"
6541986,"ACTON ST","BANCROFT WAY"
6541990,"ADELINE ST","RUSSELL ST"
6541992,"RUSSELL ST","ELLSWORTH ST"
6541994,"SAN PABLO AVE","GILMAN ST"
6541996,"DWIGHT WAY","SEVENTH ST"
6541999,"MARIN AVE","THE ALAMEDA"
6553998,"SAN PABLO AVE","ASHBY AVE"
6575648,"UNIVERSITY AVE","CURTIS ST"
6577950,"MILVIA ST","DWIGHT WAY"
6577954,"VIRGINIA ST","MARTIN LUTHER KING JR WAY"
6577958,"SACRAMENTO ST","JULIA ST"
6577962,"SAN PABLO AVE","UNIVERSITY AVE"
6577966,"SPRUCE ST","ROSE ST"
6577970,"ROSE ST","MARTIN LUTHER KING JR WAY"
6580847,"ASHBY AVE","CALIFORNIA ST"
6580851,"ADELINE ST","62ND ST"
6580855,"SACRAMENTO ST","ADDISON ST"
6582136,"UNIVERSITY AVE","GRANT ST"
6594806,"ADELINE ST","ALCATRAZ AVE"
6594818,"CEDAR ST","ACTON ST"
6594822,"VINE ST","HENRY ST"
6594826,"ADDISON ST","SECOND ST"
6594830,"ALCATRAZ AVE","COLLEGE AVE"
6594854,"OREGON ST","CALIFORNIA ST"
6594862,"RUSSELL ST","SACRAMENTO ST"
6606408,"ALCATRAZ AVE","ELLIS ST"
