case_id,primary_rd,secondary_rd
6850232,"BANCROFT WAY","TELEGRAPH AVE"
6850236,"CHANNING WAY","SHATTUCK AVE"
6850240,"OREGON ST","SAN PABLO AVE"
6855220,"GRIZZLY PEAK BLVD","SHASTA RD"
6855221,"SAN PABLO AVE","CAMELIA ST"
6855224,"SAN PABLO AVE","UNIVERSITY AVE"
6855225,"SACRAMENTO ST","WOOLSEY ST"
6855226,"VICENTE RD","COLUSA AVE"
6855227,"KEITH AVE","BRET HARTE RD"
6855233,"ASHBY AVE","DEAKIN ST"
6855234,"UNIVERSITY AVE","SACRAMENTO ST"
6855235,"CHANNING WAY","MILVIA ST"
6855236,"ALCATRAZ AVE","SACRAMENTO ST"
6855238,"MILVIA ST","OREGON ST"
6855239,"FOURTH ST","VIRGINIA ST"
6855241,"CEDAR ST","SHATTUCK AVE"
6858889,"TELEGRAPH AVE","OREGON ST"
6858916,"SAN PABLO AVE","CARLETON ST"
6858940,"ADELINE ST","HARMON ST"
6872023,"TENTH ST","BANCROFT WAY"
6872163,"ASHBY AVE","HILLEGASS AVE"
6872175,"MARIN AVE","SANTA BARBARA RD"
6872191,"ARLINGTON AVE","THOUSAND OAKS BLVD"
6872215,"MILVIA ST","RUSSELL ST"
6872227,"BANCROFT WAY","SHATTUCK AVE"
6872231,"SHATTUCK AVE","FRANCISCO ST"
6877651,"ASHBY AVE","DEAKIN ST"
6877652,"UNIVERSITY AVE","FIFTH ST"
6877653,"SAN PABLO AVE","ALLSTON WAY"
6877655,"DWIGHT WAY","DANA ST"
6877659,"MARIN AVE","SPRUCE ST"
6877660,"DURANT AVE","SHATTUCK AVE"
6877661,"VIRGINIA ST","MILVIA ST"
6877663,"TELEGRAPH AVE","RUSSELL ST"
6877664,"EASTSHORE HWY","GILMAN ST"
6877665,"SHATTUCK AVE","HEARST AVE"
6877666,"CALIFORNIA ST","ALCATRAZ AVE"
6877667,"FRONTAGE RD","UNIVERSITY AVE"
6878641,"HOPKINS ST","PERALTA AVE"
6881058,"SHATTUCK AVE","WOOLSEY ST"
6882627,"UNIVERSITY AVE","MCGEE AVE"
6899648,"SACRAMENTO ST","ALLSTON WAY"
6899697,"GILMAN ST","SIXTH ST"
6899709,"SACRAMENTO ST","BLAKE ST"
6900288,"HASTE ST","SHATTUCK AVE"
6900292,"ARLINGTON AVE","THOUSAND OAKS BLVD"
6900296,"CHANNING WAY","FULTON ST"
6900300,"STUART ST","SHATTUCK AVE"
6900304,"SAN PABLO AVE","CARLETON ST"
6900308,"COLLEGE AVE","DWIGHT WAY"
6900316,"VIRGINIA ST","SAN PABLO AVE"
6900320,"HOPKINS ST","THE ALAMEDA"
6900329,"MILVIA ST","DURANT AVE"
6900338,"DELAWARE ST","ACTON ST"
6900341,"OXFORD ST","ADDISON ST"
6900349,"VIRGINIA ST","SACRAMENTO ST"
6900353,"SHATTUCK AVE","VINE ST"
6900358,"HASTE ST","BOWDITCH ST"
6900362,"BOWDITCH ST","DURANT AVE"
6968930,"TELEGRAPH AVE","ASHBY AVE"
6968935,"BANCROFT WAY","FULTON ST"
6971685,"UNIVERSITY AVE","BONAR ST"
6971689,"ASHBY AVE","SAN PABLO AVE"
6971693,"TELEGRAPH AVE","BLAKE ST"
6971697,"ASHBY AVE","ELLIS ST"
6971721,"CALIFORNIA ST","STUART ST"
6971725,"WALNUT ST","EUNICE ST"
6972323,"MATHEWS ST","DERBY ST"
6972331,"CHANNING WAY","MILVIA ST"
6972356,"CHANNING WAY","CHANNING WAY"
6972371,"OXFORD ST","CENTER ST"
6972384,"TUNNEL RD","OAK RIDGE RD"
6972388,"BANCROFT WAY","BARROW LN"
6972470,"OXFORD ST","ALLSTON WAY"
6973964,"MARTIN LUTHER KING JR WAY","CENTER ST"
6973965,"SHATTUCK AVE","KITTREDGE ST"
6973967,"MARTIN LUTHER KING JR WAY","VINE ST"
6973968,"MARIN AVE","SPRUCE ST"
6973970,"SHATTUCK AVE","STUART ST"
6973972,"TUNNEL RD","ROBLE RD"
6973974,"FULTON ST","DWIGHT WAY"
6973979,"TENTH ST","JONES ST"
6974133,"ASHBY AVE","HARPER ST"
6974138,"ELLIS ST","ASHBY AVE"
6976685,"SAN PABLO AVE","ADDISON ST"
6983306,"KITTREDGE ST","SHATTUCK AVE"
6986967,"DWIGHT WAY","MILVIA ST"
6989816,"CHANNING WAY","BOWDITCH ST"
6989820,"SECOND ST","ADDISON ST"
6995252,"COLLEGE AVE","RUSSELL ST"
6995254,"GRIZZLY PEAK BLVD","GRIZZLY PEAK BLVD"
6995255,"HEARST AVE","WEST ST"
6995256,"EUCLID AVE","HILGARD AVE"
6995257,"UNIVERSITY AVE","MILVIA ST"
6998001,"ALLSTON WAY","MCKINLEY AVE"
6998009,"SHATTUCK AVE","RUSSELL ST"
6998013,"ALLSTON WAY","GRANT ST"
6998021,"BLAKE ST","MARTIN LUTHER KING JR WAY"
6998025,"SPRUCE ST","VIRGINIA ST"
6998047,"ALLSTON WAY","ALLSTON WAY"
6998051,"CLAREMONT AVE","BROOKSIDE AVE"
7002486,"OREGON ST","SHATTUCK AVE"
7002494,"SAN PABLO AVE","HASKELL ST"
7002502,"MILVIA ST","CENTER ST"
7002506,"LA LOMA AVE","QUARRY RD"
7002514,"RUSSELL ST","FLORENCE ST"
7002963,"ADELINE ST","HARMON ST"
7002971,"MARTIN LUTHER KING JR WAY","ADELINE ST"
7002983,"ROSE ST","SHATTUCK AVE"
7002987,"SHATTUCK AVE","UNIVERSITY AVE"
7003007,"SHATTUCK AVE","BLAKE ST"
7003016,"PIEDMONT AVE","HASTE ST"
7003028,"CHANNING WAY","TELEGRAPH AVE"
7010924,"SAN PABLO AVE","HASKELL ST"
7010928,"SOLANO AVE","ORDWAY ST"
7010930,"CALIFORNIA ST","ASHBY AVE"
7010931,"BLAKE ST","MARTIN LUTHER KING JR WAY"
7010933,"SHATTUCK AVE","VINE ST"
7019560,"MILVIA ST","DWIGHT WAY"
7023675,"SHATTUCK AVE","CHANNING WAY"
7045673,"RUSSELL ST","TELEGRAPH AVE"
7045681,"COLLEGE AVE","DURANT AVE"
7045685,"BANCROFT WAY","MILVIA ST"
7045693,"HEARST AVE","GRANT ST"
7045705,"CALIFORNIA ST","ALCATRAZ AVE"
7045713,"HENRY ST","VINE ST"
7045729,"UNIVERSITY AVE","EIGHTH ST"
7045737,"ALCATRAZ AVE","ADELINE ST"
7045741,"ARLINGTON AVE","MENDOCINO AVE"
7045749,"GILMAN ST","SECOND ST"
7046663,"SAN PABLO AVE","PARDEE ST"
7049789,"TELEGRAPH AVE","PARKER ST"
7049793,"UNIVERSITY AVE","MILVIA ST"
7049796,"FOURTH ST","VIRGINIA ST"
7049798,"DANA ST","DWIGHT WAY"
7049800,"SHATTUCK AVE","WOOLSEY ST"
7059289,"GILMAN ST","FOURTH ST"
7059290,"DERBY ST","SHATTUCK AVE"
7072584,"SHATTUCK AVE","SHATTUCK AVE"
7072589,"MARTIN LUTHER KING JR WAY","RUSSELL ST"
7072590,"MILVIA ST","ALLSTON WAY"
7072591,"WOOLSEY ST","TELEGRAPH AVE"
7072592,"ASHBY AVE","SACRAMENTO ST"
7072594,"EUCLID AVE","HEARST AVE"
7079099,"DWIGHT WAY","DWIGHT WAY"
7091056,"TELEGRAPH AVE","WEBSTER ST"
7091733,"BOWDITCH ST","BANCROFT WAY"
7094652,"MARTIN LUTHER KING JR WAY","ADDISON ST"
7094656,"SAN PABLO AVE","ALLSTON WAY"
7094688,"MILVIA ST","OREGON ST"
7094696,"ASHBY AVE","MABEL ST"
7094708,"SHATTUCK AVE","CENTER ST"
7094716,"ASHBY AVE","SACRAMENTO ST"
7095251,"ASHBY AVE","MABEL ST"
7095259,"PRINCE ST","HARPER ST"
7095263,"LOS ANGELES AVE","MARIN CIR"
7095271,"SANTA BARBARA RD","SPRUCE ST"
7095276,"ALLSTON WAY","SAN PABLO AVE"
7095318,"SHATTUCK AVE","LINCOLN ST"
7095330,"ASHBY AVE","SACRAMENTO ST"
7095338,"SAN PABLO AVE","SAN PABLO AVE"
7095342,"UNIVERSITY AVE","MILVIA ST"
7095346,"FOURTH ST","FOURTH ST"
7109478,"ADELINE ST","FAIRVIEW ST"
7116116,"MARTIN LUTHER KING JR WAY","ADDISON ST"
7116326,"SHATTUCK AVE","DELAWARE ST"
7116342,"SHATTUCK AVE","CEDAR ST"
7117362,"SHATTUCK AVE","BERKELEY WAY"
7117366,"GRANT ST","STUART ST"
7117370,"TENTH ST","GILMAN ST"
7117374,"DERBY ST","CALIFORNIA ST"
7117378,"SHATTUCK AVE","DELAWARE ST"
7117387,"PROSPECT ST","CHANNING WAY"
7117399,"SAN PABLO AVE","DELAWARE ST"
7117407,"ROSE ST","SPRUCE ST"
7117411,"GILMAN ST","NEILSON ST"
7117415,"FRANKLIN ST","DELAWARE ST"
7117424,"OXFORD ST","CENTER ST"
7117428,"SACRAMENTO ST","WARD ST"
7117431,"ASHBY AVE","ASHBY AVE"
7121608,"OXFORD ST","BERKELEY WAY"
7121616,"TELEGRAPH AVE","TELEGRAPH AVE"
7121620,"DWIGHT WAY","BOWDITCH ST"
7121624,"62ND ST","ADELINE ST"
7121632,"CENTER ST","SHATTUCK AVE"
7121644,"HEINZ AVE","SEVENTH ST"
7121648,"SHATTUCK AVE","KITTREDGE ST"
7121656,"CAMPUS DR","GLENDALE AVE"
7121664,"CEDAR ST","CALIFORNIA ST"
7121668,"COLLEGE AVE","DERBY ST"
7121672,"BANCROFT WAY","TELEGRAPH AVE"
7121685,"COLLEGE AVE","COLLEGE AVE"
7141012,"ADELINE ST","ESSEX ST"
7141031,"SACRAMENTO ST","OREGON ST"
7141039,"MABEL ST","ASHBY AVE"
7141276,"ARLINGTON AVE","MARIN CIR"
7141284,"CARLETON ST","MILVIA ST"
7141288,"ASHBY AVE","MABEL ST"
7141292,"UNIVERSITY AVE","ACTON ST"
7141296,"DELAWARE ST","SHORT ST"
7141300,"SHATTUCK AVE","UNIVERSITY AVE"
7141303,"FIFTH ST","BANCROFT WAY"
7141304,"PIEDMONT AVE","BANCROFT WAY"
7141307,"SACRAMENTO ST","BANCROFT WAY"
7141308,"DURANT AVE","BOWDITCH ST"
7141311,"ADELINE ST","OREGON ST"
7141315,"EIGHTH ST","GILMAN ST"
7141320,"HEARST AVE","SAN PABLO AVE"
7141323,"MARIN CIR","MARIN AVE"
7141327,"UNIVERSITY AVE","BONITA AVE"
7141336,"FULTON ST","HASTE ST"
7141340,"MILVIA ST","OREGON ST"
7141343,"SHATTUCK AVE","ALLSTON WAY"
7141344,"ADELINE ST","RUSSELL ST"
7141347,"MILVIA ST","HASTE ST"
7141348,"HEARST AVE","SPRUCE ST"
7141351,"FULTON ST","DURANT AVE"
7141355,"ALLSTON WAY","MILVIA ST"
7141356,"STUART ST","TELEGRAPH AVE"
7141360,"COLUSA AVE","THOUSAND OAKS BLVD"
7141363,"SEVENTH ST","CARLETON ST"
7141367,"CENTER ST","SHATTUCK AVE"
7141371,"CHANNING WAY","TELEGRAPH AVE"
7141375,"MILVIA ST","HASTE ST"
7141379,"ROSE ST","JOSEPHINE ST"
7141383,"GILMAN ST","FIFTH ST"
7141391,"HEARST AVE","LA LOMA AVE"
7141403,"DURANT AVE","DURANT AVE"
7141407,"LE ROY AVE","ROSE ST"
7141411,"BOWDITCH ST","CHANNING WAY"
7141419,"DWIGHT WAY","COLLEGE AVE"
7141423,"BANCROFT WAY","ELLSWORTH ST"
7146025,"ASHBY AVE","COLLEGE AVE"
7146298,"UNIVERSITY AVE","SAN PABLO AVE"
7146306,"SHATTUCK AVE","ASHBY AVE"
7146310,"UNIVERSITY AVE","ACTON ST"
7146321,"CALIFORNIA ST","ASHBY AVE"
7146329,"POTTER ST","NINTH ST"
7146330,"ASHBY AVE","SAN PABLO AVE"
7146334,"CEDAR ST","SHATTUCK AVE"
7146337,"MARTIN LUTHER KING JR WAY","PRINCE ST"
7146338,"FOURTH ST","VIRGINIA ST"
7146341,"FIFTH ST","ALLSTON WAY"
7146342,"SIXTH ST","ALLSTON WAY"
7146346,"WHEELER ST","ASHBY AVE"
7146350,"SHATTUCK AVE","BERKELEY WAY"
7146353,"ADELINE ST","HARMON ST"
7146354,"PIEDMONT AVE","DURANT AVE"
7146357,"ASHBY AVE","SHATTUCK AVE"
7146365,"MARTIN LUTHER KING JR WAY","ASHBY AVE"
7146370,"MCGEE AVE","PARKER ST"
7146381,"ALCATRAZ AVE","DOVER ST"
7146385,"TENTH ST","UNIVERSITY AVE"
7146389,"VIRGINIA ST","LE ROY AVE"
7146561,"HEARST AVE","OXFORD ST"
7146931,"POTTER ST","NINTH ST"
7146939,"SHATTUCK AVE","DWIGHT WAY"
7147035,"MARTIN LUTHER KING JR WAY","ADELINE ST"
7180217,"CALIFORNIA ST","DWIGHT WAY"
7180229,"BERRYMAN ST","HENRY ST"
7181610,"UNIVERSITY AVE","SEVENTH ST"
7181614,"EUCLID AVE","HAWTHORNE TER"
7181620,"CARLETON ST","SHATTUCK AVE"
7181621,"DERBY ST","GRANT ST"
7181629,"DOMINGO AVE","ASHBY AVE"
7181630,"HOPKINS ST","PERALTA AVE"
7181633,"STUART ST","ELLSWORTH ST"
7181634,"COLLEGE AVE","ASHBY AVE"
7181638,"TELEGRAPH AVE","PARKER ST"
7181641,"SHATTUCK AVE","RUSSELL ST"
7181649,"MARTIN LUTHER KING JR WAY","ADDISON ST"
7181652,"STUART ST","COLLEGE AVE"
7181654,"HEARST AVE","LE ROY AVE"
7181658,"BANCROFT WAY","TELEGRAPH AVE"
7181661,"MONTEREY AVE","MARIN AVE"
7181668,"SAN PABLO AVE","UNIVERSITY AVE"
7181670,"ADDISON ST","MILVIA ST"
7181674,"CARLETON ST","MARTIN LUTHER KING JR WAY"
7181687,"MARTIN LUTHER KING JR WAY","OREGON ST"
7192010,"SEVENTH ST","HEINZ AVE"
7192145,"BANCROFT WAY","COLLEGE AVE"
7200177,"SACRAMENTO ST","ADA ST"
8001304,"SEVENTH ST","SEVENTH ST"
8001684,"UNIVERSITY AVE","GRANT ST"
8001707,"MILVIA ST","STUART ST"
8001711,"HEARST AVE","SHATTUCK AVE"
8001715,"MARTIN LUTHER KING JR WAY","DERBY ST"
8001719,"VIRGINIA ST","MILVIA ST"
8001727,"CALIFORNIA ST","STUART ST"
8001731,"LE ROY AVE","RIDGE RD"
8001735,"PIEDMONT AVE","BANCROFT WAY"
8001739,"MILVIA ST","CENTER ST"
8001743,"MARIN AVE","OXFORD ST"
8001747,"SAN PABLO AVE","FRANCISCO ST"
8004567,"CHANNING WAY","ROOSEVELT AVE"
8007260,"CHANNING WAY","COLLEGE AVE"
8008706,"OXFORD ST","ADDISON ST"
8009066,"SPRUCE ST","GLEN AVE"
8009074,"MARTIN LUTHER KING JR WAY","HEARST AVE"
8009082,"SHATTUCK AVE","BLAKE ST"
8009090,"DURANT AVE","DANA ST"
8009094,"ADELINE ST","WOOLSEY ST"
8009102,"PERALTA AVE","GILMAN ST"
8009385,"MARTIN LUTHER KING JR WAY","OREGON ST"
8009401,"MILVIA ST","CEDAR ST"
8009405,"SHATTUCK AVE","KITTREDGE ST"
8010457,"CEDAR ST","SHATTUCK AVE"
8010461,"SCENIC AVE","VIRGINIA ST"
8010480,"SAN PABLO AVE","ADDISON ST"
8010529,"SHATTUCK AVE","ESSEX ST"
8010541,"UNIVERSITY AVE","GRANT ST"
8012242,"FULTON ST","BANCROFT WAY"
8012246,"SPRUCE ST","VINE ST"
8012262,"SAN PABLO AVE","VIRGINIA ST"
8012266,"CENTER ST","MARTIN LUTHER KING JR WAY"
8012282,"PARKER ST","FULTON ST"
8012286,"MILVIA ST","CHANNING WAY"
8012291,"CEDAR ST","ARCH ST"
8012298,"DURANT AVE","DURANT AVE"
8012306,"ASHBY AVE","SHATTUCK AVE"
8012318,"SOLANO AVE","PERALTA AVE"
8036886,"UNIVERSITY AVE","UNIVERSITY AVE"
8036894,"SACRAMENTO ST","PRINCE ST"
8036906,"CLAREMONT AVE","CLAREMONT CRESCENT"
8036910,"KAINS AVE","GILMAN ST"
8036922,"CORNELL AVE","HOPKINS ST"
8036930,"CALIFORNIA ST","ALLSTON WAY"
8036942,"ADELINE ST","ESSEX ST"
8036946,"MARTIN LUTHER KING JR WAY","BERRYMAN ST"
8036950,"CEDAR ST","ARCH ST"
8036957,"OXFORD ST","BERKELEY WAY"
8036975,"OREGON ST","SAN PABLO AVE"
8036987,"CHANNING WAY","SAN PABLO AVE"
8037008,"BLAKE ST","BLAKE ST"
8037012,"ACTON ST","UNIVERSITY AVE"
8037020,"VIRGINIA ST","EIGHTH ST"
8037026,"SAN PABLO AVE","HEINZ AVE"
8037030,"EUCLID AVE","CRYSTAL WAY"
8037034,"SACRAMENTO ST","WARD ST"
8037036,"DERBY ST","SHATTUCK AVE"
8037038,"TELEGRAPH AVE","PARKER ST"
8037040,"ELLSWORTH ST","DURANT AVE"
8037281,"ASHBY AVE","ACTON ST"
8037314,"ASHBY AVE","MARTIN LUTHER KING JR WAY"
8037513,"UNIVERSITY AVE","CHESTNUT ST"
8050028,"CEDAR ST","CALIFORNIA ST"
8050031,"CHANNING WAY","DANA ST"
8050036,"SACRAMENTO ST","ASHBY AVE"
8050040,"COLLEGE AVE","BANCROFT WAY"
8050043,"HOPKINS ST","CARLOTTA AVE"
8050044,"SIXTH ST","UNIVERSITY AVE"
8050047,"CHANNING WAY","COLLEGE AVE"
8050049,"CHANNING WAY","BYRON ST"
8050050,"RUSSELL ST","FLORENCE ST"
8050052,"SACRAMENTO ST","DELAWARE ST"
8050056,"UNIVERSITY AVE","OXFORD ST"
8050057,"TYLER ST","CALIFORNIA ST"
8050060,"ASHBY AVE","ADELINE ST"
8054893,"MARIN AVE","SPRUCE ST"
8060762,"ASHBY AVE","SACRAMENTO ST"
8060780,"HILLEGASS AVE","STUART ST"
8062968,"ADDISON ST","TENTH ST"
8062976,"UNIVERSITY AVE","OXFORD ST"
8062980,"OXFORD ST","VINE ST"
8062988,"BANCROFT WAY","FULTON ST"
8062996,"BANCROFT WAY","COLLEGE AVE"
8063004,"SOLANO AVE","COLUSA AVE"
8063011,"CURTIS ST","GILMAN ST"
8063012,"DELAWARE ST","GRANT ST"
8063015,"VIRGINIA ST","MARTIN LUTHER KING JR WAY"
8063016,"TELEGRAPH AVE","DOWLING PL"
8063176,"HEARST AVE","WALNUT ST"
8071561,"SAN PABLO AVE","VIRGINIA ST"
8071563,"GILMAN ST","NORTHSIDE AVE"
8071566,"SAN PABLO AVE","UNIVERSITY AVE"
8071628,"ADELINE ST","ALCATRAZ AVE"
8073655,"SACRAMENTO ST","UNIVERSITY AVE"
8073768,"SACRAMENTO ST","OREGON ST"
8073813,"ASHBY AVE","ASHBY AVE"
8073823,"EUCLID AVE","OAK ST"
8073835,"OXFORD ST","CENTER ST"
8073839,"ALCATRAZ AVE","COLLEGE AVE"
8074786,"CHANNING WAY","SHATTUCK AVE"
8074789,"ALLSTON WAY","SAN PABLO AVE"
8074791,"VIRGINIA ST","SIXTH ST"
8074792,"MILVIA ST","CEDAR ST"
8074796,"HASTE ST","COLLEGE AVE"
8083268,"EUCLID AVE","KEITH AVE"
8088441,"BANCROFT WAY","CURTIS ST"
8091524,"GILMAN ST","TENTH ST"
8091528,"MILVIA ST","UNIVERSITY AVE"
8091536,"SHATTUCK AVE","BERKELEY WAY"
8091540,"HOPKINS ST","CEDAR ST"
8091542,"ALCATRAZ AVE","SACRAMENTO ST"
8091543,"UNIVERSITY AVE","MILVIA ST"
8091547,"RUSSELL ST","COLLEGE AVE"
8091550,"ASHBY AVE","SACRAMENTO ST"
8091552,"DANA ST","DURANT AVE"
8091554,"GILMAN ST","SANTA FE AVE"
8091555,"MARTIN LUTHER KING JR WAY","CARLETON ST"
8091563,"GILMAN ST","FRONTAGE RD"
8091566,"OXFORD ST","ROSE ST"
8091570,"MARTIN LUTHER KING JR WAY","CHANNING WAY"
8091571,"BOLIVAR DR","ADDISON ST"
8091575,"SPRUCE ST","SUMMER ST"
8091578,"SHATTUCK AVE","WOOLSEY ST"
8091579,"TELEGRAPH AVE","CHANNING WAY"
8091582,"ALCATRAZ AVE","ADELINE ST"
8091586,"HEARST AVE","LE ROY AVE"
8091590,"CEDAR ST","JUANITA WAY"
8091595,"VIRGINIA ST","TENTH ST"
8091803,"TELEGRAPH AVE","CARLETON ST"
8091807,"BANCROFT WAY","BOWDITCH ST"
8091811,"CALIFORNIA ST","ADA ST"
8091815,"ASHBY AVE","MABEL ST"
8091823,"UNIVERSITY AVE","JEFFERSON AVE"
8103374,"BANCROFT WAY","MILVIA ST"
8103844,"SACRAMENTO ST","UNIVERSITY AVE"
8103848,"GILMAN ST","ACTON ST"
8103852,"PIEDMONT AVE","CHANNING WAY"
8103856,"SHATTUCK AVE","CHANNING WAY"
8103860,"MARTIN LUTHER KING JR WAY","BERKELEY WAY"
8103872,"MILVIA ST","DWIGHT WAY"
8103876,"SPRUCE ST","EUNICE ST"
8112809,"DELAWARE ST","NINTH ST"
8112836,"BANCROFT WAY","MILVIA ST"
8112858,"ASHBY AVE","PINE AVE"
8112876,"ALCATRAZ AVE","SACRAMENTO ST"
8112885,"KITTREDGE ST","HAROLD WAY"
8112889,"WOOLSEY ST","DEAKIN ST"
8112893,"MARTIN LUTHER KING JR WAY","CENTER ST"
8112901,"DELAWARE ST","SAN PABLO AVE"
8112905,"SOLANO AVE","THE ALAMEDA"
8112909,"PARK ST","OREGON ST"
8112921,"UNIVERSITY AVE","MILVIA ST"
8112929,"RIDGE RD","EUCLID AVE"
8112934,"DELAWARE ST","SACRAMENTO ST"
8112937,"CARLETON ST","SAN PABLO AVE"
8112938,"ADELINE ST","MARTIN LUTHER KING JR WAY"
8112941,"BLAKE ST","BLAKE ST"
8112950,"RUSSELL ST","ADELINE ST"
8112953,"SHATTUCK AVE","ASHBY AVE"
8112957,"OXFORD LN","OXFORD ST"
8112972,"TELEGRAPH AVE","STUART ST"
8126731,"ROSE ST","MARTIN LUTHER KING JR WAY"
8131800,"ASHBY AVE","MABEL ST"
8143297,"SAN PABLO AVE","CEDAR ST"
8162389,"HEARST AVE","SIXTH ST"
8162393,"UNIVERSITY AVE","SIXTH ST"
8162494,"PIEDMONT AVE","DWIGHT WAY"
8162498,"CALIFORNIA ST","OREGON ST"
8163305,"UNIVERSITY AVE","MARTIN LUTHER KING JR WAY"
8163317,"MONTEREY AVE","SONOMA AVE"
8163321,"SHATTUCK AVE","CENTER ST"
8163329,"TENTH ST","CEDAR ST"
8163333,"MARTIN LUTHER KING JR WAY","ASHBY AVE"
8163337,"DERBY ST","DANA ST"
8163341,"DURANT AVE","BOWDITCH ST"
8163345,"STUART ST","TELEGRAPH AVE"
8163766,"SHATTUCK AVE","SHATTUCK AVE"
8163770,"SAN PABLO AVE","ASHBY AVE"
8163831,"SPRUCE ST","HEARST AVE"
8163835,"DURANT AVE","MILVIA ST"
8167848,"SAN PABLO AVE","PARKER ST"
8168276,"SHATTUCK AVE","BERKELEY WAY"
8168962,"SHATTUCK AVE","UNIVERSITY AVE"
8168970,"DERBY ST","TELEGRAPH AVE"
8168978,"UNIVERSITY AVE","SHATTUCK AVE"
8169007,"DANA ST","DWIGHT WAY"
8169025,"HOPKINS ST","NAPA AVE"
8169029,"OXFORD ST","ALLSTON WAY"
8173111,"ASHBY AVE","ASHBY PL"
8195408,"MARTIN LUTHER KING JR WAY","RUSSELL ST"
8195412,"NINTH ST","DWIGHT WAY"
8195416,"BLAKE ST","MARTIN LUTHER KING JR WAY"
8195420,"ADDISON ST","OXFORD ST"
8195424,"SHATTUCK AVE","STUART ST"
8195428,"UNIVERSITY AVE","MCGEE AVE"
8205215,"ALLSTON WAY","SHATTUCK AVE"
8205227,"VIRGINIA ST","EUCLID AVE"
8205235,"GILMAN ST","EVELYN AVE"
8205239,"UNIVERSITY AVE","MILVIA ST"
8205243,"ALLSTON WAY","SACRAMENTO ST"
8205250,"BANCROFT WAY","TELEGRAPH AVE"
8205262,"OXFORD ST","ADDISON ST"
8205266,"BANCROFT WAY","BOWDITCH ST"
8205274,"DANA ST","HASTE ST"
8205278,"MILVIA ST","CENTER ST"
8206756,"SHATTUCK AVE","STUART ST"
8281203,"TELEGRAPH AVE","HASTE ST"
8281223,"SAN PABLO AVE","GILMAN ST"
8282088,"ADELINE ST","62ND ST"
8282096,"BANCROFT WAY","MARTIN LUTHER KING JR WAY"
8282100,"ROSE ST","SACRAMENTO ST"
8282119,"UNIVERSITY AVE","MILVIA ST"
8282120,"UNIVERSITY AVE","CURTIS ST"
8282143,"SACRAMENTO ST","ALCATRAZ AVE"
8282147,"MARTIN LUTHER KING JR WAY","ADDISON ST"
8282151,"WARD ST","CALIFORNIA ST"
8282159,"SACRAMENTO ST","DERBY ST"
8282193,"UNIVERSITY AVE","GRANT ST"
8292887,"CHANNING WAY","MILVIA ST"
8292907,"SACRAMENTO ST","66TH ST"
8292923,"ADELINE ST","STUART ST"
8292991,"BOLIVAR DR","ADDISON ST"
8292995,"HASTE ST","PIEDMONT AVE"
8293007,"SHATTUCK AVE","FRANCISCO ST"
8293011,"SACRAMENTO ST","RUSSELL ST"
8293015,"MONTEREY AVE","POSEN AVE"
8293021,"MATHEWS ST","BLAKE ST"
8293023,"SACRAMENTO ST","OREGON ST"
8293025,"HEARST AVE","NINTH ST"
8293030,"CEDAR ST","FOURTH ST"
8293031,"DERBY ST","MARTIN LUTHER KING JR WAY"
8293035,"MARIN AVE","COLUSA AVE"
8293038,"RUSSELL ST","LORINA ST"
8293070,"ACTON ST","ASHBY AVE"
8293700,"ASHBY AVE","KING ST"
8293704,"HEARST AVE","EUCLID AVE"
8293712,"HEARST AVE","SHATTUCK AVE"
8293724,"ASHBY AVE","MABEL ST"
8293728,"ASHBY AVE","MARTIN LUTHER KING JR WAY"
8308096,"EUCLID AVE","MARIN AVE"
8308099,"ADDISON ST","MARTIN LUTHER KING JR WAY"
8308100,"ALCATRAZ AVE","KING ST"
8308103,"NINTH ST","ADDISON ST"
8308111,"HEINZ AVE","HEINZ AVE"
8308115,"TELEGRAPH AVE","DURANT AVE"
8308123,"SHATTUCK AVE","LINCOLN ST"
8315578,"RUSSELL ST","SHATTUCK AVE"
8319210,"ADDISON ST","GRANT ST"
8319261,"SAN PABLO AVE","BLAKE ST"
8319922,"TELEGRAPH AVE","WEBSTER ST"
8319923,"CENTER ST","SHATTUCK AVE"
8319926,"SACRAMENTO ST","ALCATRAZ AVE"
8319927,"PROSPECT ST","CHANNING WAY"
8319930,"BLAKE ST","TELEGRAPH AVE"
8319934,"LE ROY AVE","HEARST AVE"
8319938,"SHATTUCK AVE","OREGON ST"
8319943,"GILMAN ST","I-80"
8319946,"DELAWARE ST","NINTH ST"
8319950,"SACRAMENTO ST","VIRGINIA ST"
8319954,"BERKELEY SQ","MARTIN LUTHER KING JR WAY"
8319965,"MARTIN LUTHER KING JR WAY","ROSE ST"
8319966,"SIXTH ST","CHANNING WAY"
8319970,"MARIN AVE","COLUSA AVE"
8319974,"EASTSHORE HWY","GILMAN ST"
8319978,"SOLANO AVE","THE ALAMEDA"
8319981,"SACRAMENTO ST","ROSE ST"
8319982,"GRAYSON ST","SEVENTH ST"
8319989,"FOURTH ST","ADDISON ST"
8319990,"SHATTUCK AVE","KITTREDGE ST"
8331884,"TELEGRAPH AVE","WEBSTER ST"
8331888,"CLAREMONT AVE","ETNA ST"
8332239,"UNIVERSITY AVE","MARTIN LUTHER KING JR WAY"
8332329,"GILMAN ST","PERALTA AVE"
8332334,"MARTIN LUTHER KING JR WAY","DWIGHT WAY"
8332349,"ADELINE ST","62ND ST"
8332353,"HEARST AVE","OXFORD ST"
8332365,"HARMON ST","ELLIS ST"
